SBI,SCHEME,ORD_SURVEY,NG_NUMBER,AGREEMENT_REF,OPTION_CODE,OPTION_START_DATE,OPTION_END_DATE,OPTION_QUANTITY,UNIT_OF_MEASURE
106672543,CS,NY9728,4580,624186,UP3,1/1/19 0:00,12/31/28 0:00,5.9564,Hectares
200404934,CS,SD8544,9572,1060828,UP1,1/1/21 0:00,12/31/25 0:00,7.1617,Hectares
106809466,CS,NY8532,1285,993999,UP2,1/1/21 0:00,12/31/25 0:00,6.3198,Hectares
106323049,CS,SD7158,1905,1449271,UP2,1/1/23 0:00,12/31/27 0:00,3.7674,Hectares
106323049,CS,SD7158,1905,1449271,SP6,1/1/23 0:00,12/31/27 0:00,3.7674,Hectares
106451432,CS,NY6048,6572,1450878,UP6,1/1/23 0:00,12/31/27 0:00,55,Hectares
106549611,CS,NZ0234,7007,1460858,UP6,1/1/23 0:00,12/31/27 0:00,23.8409,Hectares
106311944,CS,NY6943,1901,1629481,UP2,1/1/24 0:00,12/31/28 0:00,10.4,Hectares
120583203,CS,SD7694,8759,1647082,BN13,1/1/24 0:00,12/31/26 0:00,340,Metres
106323049,CS,SD7155,2389,1633345,SP6,1/1/24 0:00,12/31/28 0:00,3.6477,Hectares
200846153,CS,NY9041,7230,1649975,BN12,1/1/24 0:00,12/31/26 0:00,120,Metres
113438450,CS,NY8521,8526,1635734,UP2,1/1/24 0:00,12/31/28 0:00,3.6874,Hectares
106778436,CS,SD9661,2145,1652429,UP2,1/1/24 0:00,12/31/28 0:00,23.9541,Hectares
106801435,CS,SE0034,6840,1644545,UP2,1/1/24 0:00,12/31/28 0:00,8.4681,Hectares
107362539,CS,SD8472,4085,1483138,BN12,8/1/23 0:00,7/31/26 0:00,50,Metres
106505403,SFI23,SD7247,8194,1668305,MOR1,1/1/24 0:00,12/31/26 0:00,65.4873,Hectares
106505403,SFI23,SD7246,9177,1668305,MOR1,1/1/24 0:00,12/31/26 0:00,10.2238,Hectares
106573166,SFI23,SE0903,8352,1705695,MOR1,4/1/24 0:00,3/31/27 0:00,12.0934,Hectares
106291405,CS,SD4488,1980,1728070,PA1,4/26/24 0:00,4/25/27 0:00,1,Units
106801435,SFI23,SE0034,3133,1799420,MOR1,7/1/24 0:00,6/30/27 0:00,48.4547,Hectares
107243614,SFI Expanded Offer,NY7103,7639,1946400,UPL5,1/1/25 0:00,12/31/27 0:00,1.1484,Hectares
106798759,SFI Expanded Offer,SE0905,6039,1939789,SPM5,4/1/25 0:00,3/31/28 0:00,1.6039,Hectares
106296912,SFI Expanded Offer,SK0190,4192,1948270,CMOR1,1/1/25 0:00,12/31/27 0:00,2.5404,Hectares
200608280,SFI Expanded Offer,NY8189,4470,1937956,UPL3,2/1/25 0:00,1/31/28 0:00,27.8662,Hectares
107646713,SFI Expanded Offer,SE0416,3293,1948084,UPL9,2/1/25 0:00,1/31/28 0:00,0.3584,Hectares
106545684,SFI Expanded Offer,SE0565,838,1936274,BND1,1/1/25 0:00,12/31/27 0:00,302,Metres
200241697,SFI Expanded Offer,NT8412,2102,1990959,UPL7,3/1/25 0:00,2/29/28 0:00,58.614,Hectares
106497562,SFI Expanded Offer,SD6356,646,1946827,BND1,3/1/25 0:00,2/29/28 0:00,2369,Metres
200404934,SFI Expanded Offer,SD8644,9243,1983188,UPL7,2/1/25 0:00,1/31/28 0:00,17.4362,Hectares
200404934,SFI Expanded Offer,SD8644,6818,1983188,BND1,2/1/25 0:00,1/31/28 0:00,1164,Metres
106409224,SFI Expanded Offer,SD8627,4775,1947786,UPL7,3/1/25 0:00,2/29/28 0:00,0.4039,Hectares
106308119,SFI Expanded Offer,SK1980,2698,1959883,BND1,3/1/25 0:00,2/29/28 0:00,371,Metres
200684897,SFI Expanded Offer,NY6247,4580,1929705,CMOR1,3/1/25 0:00,2/29/28 0:00,54.0555,Hectares
106325212,SFI Expanded Offer,SD6192,4128,2006314,UPL7,4/1/25 0:00,3/31/28 0:00,11.1428,Hectares
200540702,SFI Expanded Offer,SD7869,4165,1994763,UPL7,4/1/25 0:00,3/31/28 0:00,0.706,Hectares
106247581,SFI Expanded Offer,SD1688,6183,2003232,CMOR1,5/1/25 0:00,4/30/28 0:00,1.424,Hectares
107155377,CS,NY9087,3999,1269121,UP3,1/1/22 0:00,12/31/31 0:00,8.4139,Hectares
120148261,CS,SD5764,780,1270008,UP2,1/1/22 0:00,12/31/26 0:00,12.7964,Hectares
106247455,CS,NY7348,7873,1425321,UP6,1/1/23 0:00,12/31/27 0:00,177.4868,Hectares
107264972,CS,NY7153,719,1454485,UP3,1/1/23 0:00,12/31/32 0:00,73.8987,Hectares
106335247,CS,SD6955,4858,1455055,SP6,1/1/23 0:00,12/31/27 0:00,22.9908,Hectares
106509964,CS,SE0260,1568,1462251,UP2,1/1/23 0:00,12/31/27 0:00,11.5527,Hectares
106311944,CS,NY6944,7345,1629481,FG12,1/1/24 0:00,12/31/26 0:00,1,Units
106453218,CS,SD7360,1921,1639469,UP3,1/1/24 0:00,12/31/33 0:00,53.0955,Hectares
106453218,CS,SD7260,8814,1639469,UP3,1/1/24 0:00,12/31/33 0:00,18.9165,Hectares
106912690,CS,SD8225,5144,1644743,UP1,1/1/24 0:00,12/31/28 0:00,0.2143,Hectares
200108979,SFI23,NY7986,7734,1662486,MOR1,11/1/23 0:00,10/31/26 0:00,8.3167,Hectares
117621236,SFI23,SX7687,1584,1664644,HRW2,2/1/24 0:00,1/31/27 0:00,673,Metres
106588276,CS,SD9261,5000,1650210,FG2,1/1/24 0:00,12/31/26 0:00,928,Metres
106399687,CS,SD8313,1891,1639985,OT6,1/1/24 0:00,12/31/28 0:00,3.5561,Hectares
106440951,CS,SD7324,2505,1654894,FG2,1/1/24 0:00,12/31/26 0:00,845,Metres
106242245,SFI23,SD8328,1501,1690184,MOR1,4/1/24 0:00,3/31/27 0:00,1.3126,Hectares
106573166,SFI23,SE0904,9009,1705695,MOR1,4/1/24 0:00,3/31/27 0:00,3.3059,Hectares
106801435,SFI23,SE0233,1795,1799420,MOR1,7/1/24 0:00,6/30/27 0:00,1.0737,Hectares
106801435,SFI23,SE0034,9686,1799420,MOR1,7/1/24 0:00,6/30/27 0:00,0.0556,Hectares
107002145,SFI Expanded Offer,NY4701,9212,1805518,CMOR1,10/1/24 0:00,9/30/27 0:00,15.4662,Hectares
107002145,SFI Expanded Offer,SD4899,5678,1805518,BND1,10/1/24 0:00,9/30/27 0:00,1425,Metres
106770508,SFI Expanded Offer,SE1604,4146,1956820,UPL7,2/1/25 0:00,1/31/28 0:00,5.9716,Hectares
106770508,SFI Expanded Offer,SE1205,2932,1956820,UPL10,2/1/25 0:00,1/31/28 0:00,1.0387,Hectares
106311352,SFI Expanded Offer,NT8602,6789,1952863,CMOR1,12/1/24 0:00,11/30/27 0:00,31.7076,Hectares
106798759,SFI Expanded Offer,SE1006,2176,1939789,UPL8,4/1/25 0:00,3/31/28 0:00,0.6277,Hectares
107646713,SFI Expanded Offer,SD7553,9179,1948084,BND1,2/1/25 0:00,1/31/28 0:00,1665,Metres
107646713,SFI Expanded Offer,SE0416,1149,1948084,CHRW1,2/1/25 0:00,1/31/28 0:00,135,Metres
107646713,SFI Expanded Offer,SD9410,8650,1948084,CHRW1,2/1/25 0:00,1/31/28 0:00,171,Metres
106311944,SFI Expanded Offer,NY6944,3019,1935072,BND1,2/1/25 0:00,1/31/28 0:00,710,Metres
200556266,SFI Expanded Offer,NY1222,5348,1993344,CMOR1,3/1/25 0:00,2/29/28 0:00,17.5192,Hectares
112944155,SFI Expanded Offer,SD7185,771,1967921,BND1,2/1/25 0:00,1/31/28 0:00,990,Metres
200849715,SFI Expanded Offer,SJ9997,578,1981875,UPL6,9/1/25 0:00,8/31/28 0:00,8.7654,Hectares
106498687,SFI Expanded Offer,SD7422,4885,1978163,UPL7,4/1/25 0:00,3/31/28 0:00,0.7718,Hectares
106549611,SFI Expanded Offer,NZ0234,7007,1960812,CMOR1,2/1/25 0:00,1/31/28 0:00,23.8519,Hectares
106509189,SFI Expanded Offer,SD7925,7454,2182659,UPL8,10/1/25 0:00,9/30/28 0:00,11.4407,Hectares
106323049,SFI Expanded Offer,SD7256,134,2008144,CMOR1,5/1/25 0:00,4/30/28 0:00,49.3677,Hectares
107284475,CS,SE0414,8261,2181745,FG12,11/1/25 0:00,10/31/28 0:00,1,Units
106533919,CS,SE0775,9435,309025,UP3,1/1/17 0:00,12/31/26 0:00,12.8754,Hectares
106436671,CS,NY8609,3089,997157,UP2,1/1/21 0:00,12/31/25 0:00,14.6881,Hectares
200429591,CS,NY0219,4065,1257459,LH1,1/1/22 0:00,12/31/26 0:00,0.4425,Hectares
106250996,CS,NY4125,8308,1268269,UP2,1/1/22 0:00,12/31/26 0:00,17.27,Hectares
106461640,CS,NY8955,3810,1272935,GS6,1/1/22 0:00,12/31/26 0:00,6.5,Hectares
106247455,CS,NY7347,458,1425321,SP8,1/1/23 0:00,12/31/27 0:00,5.9717,Hectares
200683998,CS,SD5762,4675,1456925,GS16,1/1/23 0:00,12/31/25 0:00,21.9732,Hectares
106204421,CS,SD5361,6542,1626247,SP6,1/1/24 0:00,12/31/28 0:00,4.1982,Hectares
106311352,CS,NT8602,6789,1638195,UP3,1/1/24 0:00,12/31/33 0:00,31.7,Hectares
200404934,CS,SD8644,6818,1634336,FG2,8/1/23 0:00,7/31/26 0:00,385,Metres
120583203,CS,SD7694,8759,1647082,SP6,1/1/24 0:00,12/31/28 0:00,9.406,Hectares
106323049,CS,SD7258,5846,1633345,UP1,1/1/24 0:00,12/31/28 0:00,24.298,Hectares
106323049,CS,SD7156,8541,1633345,SP6,1/1/24 0:00,12/31/28 0:00,3.0897,Hectares
200778286,CS,SD9419,122,1643273,FG12,1/1/24 0:00,12/31/26 0:00,1,Units
200778286,CS,SD9319,6514,1643273,UP2,1/1/24 0:00,12/31/28 0:00,2.4977,Hectares
200222718,CS,SD6620,8455,1649342,UP2,1/1/24 0:00,12/31/28 0:00,12.8836,Hectares
200108979,SFI23,NY7988,6473,1662486,MOR1,11/1/23 0:00,10/31/26 0:00,25.7556,Hectares
106611048,CS,SD7579,6017,1644849,BN12,1/1/24 0:00,12/31/26 0:00,63,Metres
106399687,CS,SD8314,3936,1639985,UP1,1/1/24 0:00,12/31/28 0:00,1.7467,Hectares
106431507,SFI23,NY7992,3011,1679801,MOR1,1/1/24 0:00,12/31/26 0:00,0.3223,Hectares
106770508,SFI23,SE1603,8094,1665214,MOR1,3/1/24 0:00,2/28/27 0:00,11.5797,Hectares
106770508,SFI23,SE1105,9925,1665214,MOR1,3/1/24 0:00,2/28/27 0:00,0.9411,Hectares
111050507,SFI23,NY6649,2266,1677303,MOR1,1/1/24 0:00,12/31/26 0:00,19.8984,Hectares
106242245,SFI23,SD8327,9596,1690184,MOR1,4/1/24 0:00,3/31/27 0:00,0.7841,Hectares
106245088,SFI23,SD5946,5618,1694515,MOR1,4/1/24 0:00,3/31/27 0:00,35.8086,Hectares
106801435,SFI23,SE0034,8311,1799420,MOR1,7/1/24 0:00,6/30/27 0:00,0.1747,Hectares
107002145,SFI Expanded Offer,NY4800,4446,1805518,BND1,10/1/24 0:00,9/30/27 0:00,385,Metres
106416520,SFI Expanded Offer,SK0374,8080,1933988,UPL10,11/1/24 0:00,10/31/27 0:00,0.3137,Hectares
106311944,SFI Expanded Offer,NY6945,9603,1935072,BND1,2/1/25 0:00,1/31/28 0:00,1720,Metres
106311944,SFI Expanded Offer,NY6944,7345,1935072,BND1,2/1/25 0:00,1/31/28 0:00,240,Metres
106278567,CS,SD6246,1081,1993935,UP3,1/1/25 0:00,12/31/34 0:00,86.9032,Hectares
115606530,SFI Expanded Offer,SD6085,2876,1976660,CMOR1,2/1/25 0:00,1/31/28 0:00,19.8353,Hectares
106498687,SFI Expanded Offer,SD7422,2794,1978163,UPL7,4/1/25 0:00,3/31/28 0:00,0.2227,Hectares
106493330,SFI Expanded Offer,NY2740,2506,1975764,UPL3,5/1/25 0:00,4/30/28 0:00,16.2858,Hectares
106549611,SFI Expanded Offer,NZ0634,3606,1960812,UPL2,2/1/25 0:00,1/31/28 0:00,22.8879,Hectares
106308119,SFI Expanded Offer,SK1981,6911,1959883,UPL7,3/1/25 0:00,2/29/28 0:00,10.2586,Hectares
106635319,SFI Expanded Offer,SD8558,9150,1986915,BND1,3/1/25 0:00,2/29/28 0:00,2517,Metres
106320912,SFI Expanded Offer,SD8827,7896,1998537,UPL7,3/1/25 0:00,2/29/28 0:00,6.8667,Hectares
106247581,SFI Expanded Offer,SD1687,8471,2003232,CMOR1,5/1/25 0:00,4/30/28 0:00,24.8771,Hectares
106611048,SFI Expanded Offer,SD7579,6017,1996515,BND1,6/1/25 0:00,5/31/28 0:00,1110,Metres
112778427,CS,SE0433,7610,626229,UP3,1/1/19 0:00,12/31/28 0:00,0.9951,Hectares
106414083,CS,SJ9668,8329,1444192,UP2,1/1/23 0:00,12/31/27 0:00,6.8387,Hectares
106511194,CS,SE0415,1302,1453691,UP1,1/1/24 0:00,12/31/27 0:00,0.6744,Hectares
106438183,CS,NY5136,6934,1551709,BN15,1/1/24 0:00,12/31/26 0:00,35,Metres
200725976,CS,NY3722,9588,1607407,WD8,1/1/24 0:00,12/31/28 0:00,4,Hectares
117629893,CS,NY5236,7756,1634465,SP8,1/1/24 0:00,12/31/28 0:00,26.5731,Hectares
107626684,CS,NY7271,717,1638677,GS15,1/1/24 0:00,12/31/28 0:00,0.93,Hectares
106399687,CS,SD8214,9302,1639985,WD7,1/1/24 0:00,12/31/28 0:00,4.7749,Hectares
106770508,SFI23,SE1703,858,1665214,MOR1,3/1/24 0:00,2/28/27 0:00,35.0191,Hectares
200627089,SFI23,NU1411,3028,1701746,MOR1,3/1/24 0:00,2/28/27 0:00,19.1271,Hectares
106292097,SFI23,NT9116,3027,1741145,MOR1,5/1/24 0:00,4/30/27 0:00,24.593,Hectares
106200859,SFI Expanded Offer,SD6162,6786,1797400,BND1,9/1/24 0:00,8/31/27 0:00,700,Metres
107002145,SFI Expanded Offer,NY4800,2212,1805518,CMOR1,10/1/24 0:00,9/30/27 0:00,7.6213,Hectares
107002145,SFI Expanded Offer,NY4801,510,1805518,BND1,10/1/24 0:00,9/30/27 0:00,656,Metres
200420865,SFI Expanded Offer,NY0512,1080,1926167,UPL8,11/1/24 0:00,10/31/27 0:00,45.5931,Hectares
106770508,SFI Expanded Offer,SE1205,846,1956820,UPL10,2/1/25 0:00,1/31/28 0:00,0.4329,Hectares
106798759,SFI Expanded Offer,SE1006,5392,1939789,SPM5,4/1/25 0:00,3/31/28 0:00,0.5402,Hectares
106798759,SFI Expanded Offer,SE1006,2881,1939789,UPL8,4/1/25 0:00,3/31/28 0:00,0.8206,Hectares
106798759,SFI Expanded Offer,SE1006,3785,1939789,UPL8,4/1/25 0:00,3/31/28 0:00,3.0429,Hectares
107646713,SFI Expanded Offer,SD9510,468,1948084,UPL9,2/1/25 0:00,1/31/28 0:00,4.7315,Hectares
107646713,SFI Expanded Offer,SD9410,7748,1948084,UPL1,2/1/25 0:00,1/31/28 0:00,1.2928,Hectares
106498687,SFI Expanded Offer,SD7522,2397,1956567,UPL7,4/1/25 0:00,3/31/28 0:00,6.6931,Hectares
122352139,SFI Expanded Offer,SD9125,3782,1987010,UPL10,2/1/25 0:00,1/31/28 0:00,1.8997,Hectares
106409224,SFI Expanded Offer,SD8527,9779,1947786,BND1,3/1/25 0:00,2/29/28 0:00,838,Metres
106305991,SFI Expanded Offer,NY5553,6321,1985747,UPL1,3/1/25 0:00,2/29/28 0:00,44.9619,Hectares
106320912,SFI Expanded Offer,SD8828,4349,1998537,UPL7,3/1/25 0:00,2/29/28 0:00,0.7285,Hectares
106247581,SFI Expanded Offer,SD1688,9380,2003232,CMOR1,5/1/25 0:00,4/30/28 0:00,10.9324,Hectares
106681156,SFI Expanded Offer,NY9721,699,2182756,BND1,10/1/25 0:00,9/30/28 0:00,172,Metres
106681156,SFI Expanded Offer,NY9721,190,2182756,CMOR1,10/1/25 0:00,9/30/28 0:00,36.4268,Hectares
200891887,SFI Expanded Offer,SD8825,9756,2017819,UPL3,5/1/25 0:00,4/30/28 0:00,3.3204,Hectares
201032505,SFI Expanded Offer,SD9461,9506,2179166,UPL8,10/1/25 0:00,9/30/28 0:00,20.9474,Hectares
106323049,SFI Expanded Offer,SD7159,4210,2008144,BND1,5/1/25 0:00,4/30/28 0:00,657,Metres
106769344,CS,SE1683,3737,306082,UP3,1/1/17 0:00,12/31/26 0:00,65.83,Hectares
106258062,CS,SK0767,530,1263494,GS6,1/1/22 0:00,12/31/26 0:00,15.23,Hectares
106468590,CS,NY7600,1360,1265113,WD9,1/1/22 0:00,12/31/26 0:00,30.2405,Hectares
106538607,CS,SE1658,1031,1265693,UP3,1/1/22 0:00,12/31/31 0:00,16.2179,Hectares
106282870,CS,SD7937,8309,1271808,UP2,1/1/22 0:00,12/31/26 0:00,14.3304,Hectares
106247455,CS,NY7248,2218,1425321,WD12,1/1/23 0:00,12/31/32 0:00,10.2584,Hectares
200498540,CS,SD7799,1466,1444557,WD7,1/1/23 0:00,12/31/27 0:00,5.9055,Hectares
106310339,CS,SD7058,5547,1452775,GS6,1/1/23 0:00,12/31/27 0:00,7.1555,Hectares
106511194,CS,SE0415,4821,1453691,UP1,1/1/24 0:00,12/31/27 0:00,0.9475,Hectares
106311944,CS,NY6842,1755,1629481,WD9,1/1/24 0:00,12/31/28 0:00,0.21,Hectares
108997457,CS,SD4493,2413,1647822,WD7,1/1/24 0:00,12/31/28 0:00,14.2333,Hectares
113438450,CS,NY8223,6124,1635734,UP6,1/1/24 0:00,12/31/28 0:00,936.5,Hectares
106588276,CS,SD9362,1109,1650210,FG2,1/1/24 0:00,12/31/26 0:00,2039,Metres
106588276,CS,SD9261,6649,1650210,FG12,1/1/24 0:00,12/31/26 0:00,3,Units
106770508,SFI23,SE1205,955,1665214,MOR1,3/1/24 0:00,2/28/27 0:00,1.0467,Hectares
106242245,SFI23,SD8427,1095,1690184,MOR1,4/1/24 0:00,3/31/27 0:00,2.4517,Hectares
107179013,SFI23,SD6661,5323,1692644,MOR1,2/1/24 0:00,1/31/27 0:00,33.8259,Hectares
200868230,CS,SD8825,1504,1663869,FG12,1/1/24 0:00,12/31/26 0:00,2,Units
106325212,SFI23,SD6192,2405,1716343,MOR1,5/1/24 0:00,4/30/27 0:00,8.716,Hectares
107243614,SFI Expanded Offer,NY7103,7639,1946400,UPL1,1/1/25 0:00,12/31/27 0:00,1.1484,Hectares
106770508,SFI Expanded Offer,SE1504,1605,1956820,UPL10,2/1/25 0:00,1/31/28 0:00,7.9031,Hectares
200424095,SFI Expanded Offer,SD7282,1028,1961400,BND1,1/1/25 0:00,12/31/27 0:00,1400,Metres
106798759,SFI Expanded Offer,SE0904,6083,1939789,UPL8,4/1/25 0:00,3/31/28 0:00,10.1273,Hectares
106468590,SFI Expanded Offer,NY7600,2636,1956751,BND1,2/1/25 0:00,1/31/28 0:00,2410,Metres
107646713,SFI Expanded Offer,SE0417,3313,1948084,CMOR1,2/1/25 0:00,1/31/28 0:00,0.2746,Hectares
106801446,CS,NY9428,553,1802376,BN14,8/1/24 0:00,7/31/27 0:00,10,Metres
106545684,SFI Expanded Offer,SE0565,1966,1936274,UPL3,1/1/25 0:00,12/31/27 0:00,0.4098,Hectares
107198210,SFI Expanded Offer,NY7405,277,1982485,CMOR1,3/1/25 0:00,2/29/28 0:00,6.2432,Hectares
106795119,SFI Expanded Offer,SE0644,4823,1981235,BND1,3/1/25 0:00,2/29/28 0:00,483,Metres
112944155,SFI Expanded Offer,SD7185,782,1967921,BND1,2/1/25 0:00,1/31/28 0:00,88,Metres
122352139,SFI Expanded Offer,SD9125,4872,1987010,UPL2,2/1/25 0:00,1/31/28 0:00,0.3334,Hectares
200022146,SFI Expanded Offer,SD7385,272,2006333,UPL1,4/1/25 0:00,3/31/28 0:00,3.0942,Hectares
107179013,CS,SD6558,7999,2000426,UP3,1/1/25 0:00,12/31/34 0:00,99.217,Hectares
107179013,CS,SD6560,4290,2000426,WD8,1/1/25 0:00,12/31/29 0:00,4.4822,Hectares
106305991,SFI Expanded Offer,NY5553,6321,1985747,UPL9,3/1/25 0:00,2/29/28 0:00,44.9619,Hectares
107608524,CS,SD6461,4404,2002570,UP3,1/1/25 0:00,12/31/34 0:00,9.2177,Hectares
118586667,SFI Expanded Offer,SD7419,3806,2178234,UPL3,11/1/25 0:00,10/31/28 0:00,1.6093,Hectares
107215200,SFI Expanded Offer,SD7424,4981,2176425,UPL1,11/1/25 0:00,10/31/28 0:00,6.5376,Hectares
106686048,SFI Expanded Offer,SE0952,8284,1981380,UPL7,10/1/25 0:00,9/30/28 0:00,19.7914,Hectares
106323049,SFI Expanded Offer,SD7259,709,2008144,CMOR1,5/1/25 0:00,4/30/28 0:00,66.4781,Hectares
106323049,SFI Expanded Offer,SD7059,8814,2008144,CMOR1,5/1/25 0:00,4/30/28 0:00,3.932,Hectares
111936983,CS,SD7216,145,306959,UP3,1/1/18 0:00,12/31/26 0:00,0.6967,Hectares
107012352,CS,SD3589,3263,307074,UP3,1/1/17 0:00,12/31/26 0:00,0.1037,Hectares
107012352,CS,SD3589,1661,307074,UP3,1/1/17 0:00,12/31/26 0:00,7.0892,Hectares
106436671,CS,NY8510,5258,997157,UP2,1/1/21 0:00,12/31/25 0:00,19.1775,Hectares
106809466,CS,NY8532,2250,993999,UP2,1/1/21 0:00,12/31/25 0:00,35.947,Hectares
106809466,CS,NY8632,7889,993999,UP5,1/1/21 0:00,12/31/25 0:00,80,Hectares
200664416,CS,SD8728,540,1259671,UP2,1/1/22 0:00,12/31/26 0:00,2.584,Hectares
106247455,CS,NY7547,5343,1425321,WD8,1/1/23 0:00,12/31/27 0:00,1.6941,Hectares
106247455,CS,NY7347,2755,1425321,SP8,1/1/23 0:00,12/31/27 0:00,18.8839,Hectares
106323049,CS,SD7157,3592,1449271,SP6,1/1/23 0:00,12/31/27 0:00,22.7608,Hectares
106635319,CS,SD8558,2469,1461410,UP2,1/1/23 0:00,12/31/27 0:00,13.6145,Hectares
106573166,CS,SE0903,7574,1462727,UP3,1/1/23 0:00,12/31/32 0:00,1.228,Hectares
200725976,CS,NY3722,9588,1607407,TE4D,1/1/24 0:00,12/31/26 0:00,360,Trees
200725976,CS,NY3722,4482,1607407,WD9,1/1/24 0:00,12/31/28 0:00,4.01,Hectares
106311944,CS,NY6842,1755,1629481,BN13,1/1/24 0:00,12/31/26 0:00,300,Metres
117629893,CS,NY5237,2519,1634465,LH1,1/1/24 0:00,12/31/28 0:00,3.2983,Hectares
117629893,CS,NY5236,1391,1634465,LH1,1/1/24 0:00,12/31/28 0:00,38.5392,Hectares
106311352,CS,NT8501,7682,1638195,UP3,1/1/24 0:00,12/31/33 0:00,354.5964,Hectares
200778286,CS,SD9419,512,1643273,RP1,1/1/24 0:00,12/31/26 0:00,3,Units
200778286,CS,SD9418,1195,1643273,UP1,1/1/24 0:00,12/31/28 0:00,1.9441,Hectares
107002145,CS,NY4800,4446,1642072,BN13,1/1/24 0:00,12/31/26 0:00,640,Metres
106912690,CS,SD8225,5142,1644743,UP1,1/1/24 0:00,12/31/28 0:00,0.1686,Hectares
106996009,CS,NY1105,3166,1633202,UP2,1/1/24 0:00,12/31/28 0:00,5.5424,Hectares
117418240,CS,SD7220,6925,1653296,GS2,1/1/24 0:00,12/31/28 0:00,1.0119,Hectares
106770508,SFI23,SE1604,6822,1665214,MOR1,3/1/24 0:00,2/28/27 0:00,4.1185,Hectares
106770508,SFI23,SE1302,6559,1665214,MOR1,3/1/24 0:00,2/28/27 0:00,818.5595,Hectares
106770508,SFI23,SE1701,9491,1665214,MOR1,3/1/24 0:00,2/28/27 0:00,1.0192,Hectares
106631996,SFI23,SE0609,2542,1702466,MOR1,3/1/24 0:00,2/28/27 0:00,79.4472,Hectares
106533043,SFI23,NY9348,7496,1719241,MOR1,4/1/24 0:00,3/31/27 0:00,2.597,Hectares
106484910,SFI23,NY9652,671,1734606,MOR1,5/1/24 0:00,4/30/27 0:00,266.9533,Hectares
122400320,SFI23,NY6750,6250,1795145,MOR1,7/1/24 0:00,6/30/27 0:00,54.3477,Hectares
106311352,SFI Expanded Offer,NT8503,7010,1952863,CMOR1,12/1/24 0:00,11/30/27 0:00,24.8786,Hectares
106798759,SFI Expanded Offer,SE0905,5704,1939789,UPL8,4/1/25 0:00,3/31/28 0:00,4.8829,Hectares
107646713,SFI Expanded Offer,SD9410,8650,1948084,UPL9,2/1/25 0:00,1/31/28 0:00,1.014,Hectares
107646713,SFI Expanded Offer,SD9510,468,1948084,CMOR1,2/1/25 0:00,1/31/28 0:00,4.7315,Hectares
106311944,SFI Expanded Offer,NY6942,3371,1935072,CMOR1,2/1/25 0:00,1/31/28 0:00,2.2004,Hectares
106545684,SFI Expanded Offer,SE0565,838,1936274,CMOR1,1/1/25 0:00,12/31/27 0:00,10.0933,Hectares
114809554,SFI Expanded Offer,SD2979,6614,1984946,UPL1,3/1/25 0:00,2/29/28 0:00,9.811,Hectares
107365747,SFI Expanded Offer,SD7758,8179,1980016,UPL3,2/1/25 0:00,1/31/28 0:00,11.8169,Hectares
106944051,SFI Expanded Offer,SS7237,4639,1967147,CMOR1,6/1/25 0:00,5/31/28 0:00,5.896,Hectares
200684897,SFI Expanded Offer,NY6247,4580,1929705,UPL3,3/1/25 0:00,2/29/28 0:00,54.0555,Hectares
107179013,CS,SD6559,9983,2000426,WD8,1/1/25 0:00,12/31/29 0:00,12.1434,Hectares
107608524,CS,SD6460,5434,2002570,UP3,1/1/25 0:00,12/31/34 0:00,180.2982,Hectares
106247581,SFI Expanded Offer,SD1687,4682,2003232,CMOR1,5/1/25 0:00,4/30/28 0:00,2.9821,Hectares
106762757,CS,NY8835,9090,1779216,BN12,5/1/25 0:00,4/30/28 0:00,238,Metres
106681156,SFI Expanded Offer,NY9721,190,2182756,BND1,10/1/25 0:00,9/30/28 0:00,2366,Metres
106499542,SFI Expanded Offer,NY7547,1165,2190416,UPL7,10/1/25 0:00,9/30/28 0:00,11.8111,Hectares
201029679,SFI Expanded Offer,SE0909,8799,2177791,CHRW1,10/1/25 0:00,9/30/28 0:00,131,Metres
111936983,CS,SD7116,8067,306959,UP3,1/1/18 0:00,12/31/26 0:00,0.7146,Hectares
106801435,CS,SE0034,1179,628705,UP3,1/1/19 0:00,12/31/28 0:00,0.7142,Hectares
106505403,CS,SD7347,538,990435,SP8,1/1/21 0:00,12/31/25 0:00,12.9421,Hectares
106809466,CS,NY8632,7889,993999,UP3,1/1/21 0:00,12/31/30 0:00,755.1085,Hectares
106296729,CS,NY7685,6222,1229656,UP6,1/1/22 0:00,12/31/26 0:00,20,Hectares
106296729,CS,NY7584,6399,1229656,UP5,1/1/22 0:00,12/31/26 0:00,35.5,Hectares
106256242,CS,NY7061,1776,1166280,SP6,1/1/22 0:00,12/31/26 0:00,39.7802,Hectares
106256242,CS,NY7061,1776,1166280,WD8,1/1/22 0:00,12/31/26 0:00,3,Hectares
107016960,CS,SX7377,618,1303195,OT1,1/1/22 0:00,12/31/26 0:00,1.102,Hectares
106301657,CS,NZ0392,9251,1394632,UP3,1/1/23 0:00,12/31/32 0:00,182.0239,Hectares
106451432,CS,NY6048,6572,1450878,UP2,1/1/23 0:00,12/31/27 0:00,10.423,Hectares
106283041,CS,SK1460,3686,1468846,SP6,1/1/23 0:00,12/31/27 0:00,2.4789,Hectares
106549611,CS,NZ0234,8937,1460858,UP6,1/1/23 0:00,12/31/27 0:00,0.0111,Hectares
200725976,CS,NY3722,4482,1607407,FG2,1/1/24 0:00,12/31/26 0:00,750,Metres
